prediction_id,biological_instance_id,environment_id,predictor,fidelity_delta_cosine,continuous_risk,reliable_label,legacy_transportability_label,legacy_target_risk
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl10a__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl10a,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.034953166,0.48252344,0,0.0,0.965786465668176
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__sf3b3__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__sf3b3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.22262615,0.3886869,0,0.0,0.7811956327657126
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med12__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med12,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.38209477,0.30895263,0,1.0,0.6239670914808645
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl13__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl13,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.034513827,0.48274308,0,0.0,0.9713321726077909
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc39a9__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc39a9,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.12366628,0.43816686,0,0.0,0.8763838518436897
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__arglu1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__arglu1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.029124834,0.48543757,0,0.0,0.9679874541045651
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmd6__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmd6,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.1364254,0.4317873,0,0.0,0.8698875986079864
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__c16orf86__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__c16orf86,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.0012005443,0.5006003,0,0.0,1.003365408136541
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hinfp__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hinfp,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.14744948,0.42627525,0,0.0,0.8518391831921135
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__mzt1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__mzt1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.13446864,0.43276566,0,0.0,0.864120257353519
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hars__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hars,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.3366406,0.3316797,0,1.0,0.6666482627399193
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__donson__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__donson,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.14914876,0.42542565,0,0.0,0.851392690829567
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__vcp__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__vcp,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.030319544,0.5151598,0,0.0,1.02958575833101
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__timm23b__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__timm23b,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.39382735,0.30308634,0,1.0,0.6078378557096369
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ncbp2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ncbp2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.056449413,0.4717753,0,0.0,0.9463637436679624
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif4g2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif4g2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.11782677,0.4410866,0,0.0,0.8809307530099837
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__dync1i2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__dync1i2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.02132013,0.48933995,0,0.0,0.9792311153161813
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__lin54__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__lin54,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.04271895,0.52135944,0,0.0,1.0402588355858793
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmg3__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmg3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.04191569,0.47904217,0,0.0,0.9499430377746053
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pcf11__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pcf11,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.04522306,0.47738844,0,0.0,0.954349170170955
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med19__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med19,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.26768675,0.36615664,0,0.0,0.7317291241869318
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__numa1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__numa1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.06664806,0.466676,0,0.0,0.9356812268990081
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__smn2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__smn2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.41614172,0.29192913,0,1.0,0.5879239160775992
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__gtf2h1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__gtf2h1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.23524316,0.3823784,0,0.0,0.766131652741689
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmc2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmc2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.31525818,0.34237093,0,0.5,0.6872542853999376
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__chmp6__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__chmp6,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.2185054,0.3907473,0,0.0,0.7861888665680393
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ppp2r1a__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ppp2r1a,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.02607392,0.51303697,0,0.0,1.0275159767351842
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cpsf3__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cpsf3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.1588569,0.42057157,0,0.0,0.8464937808900206
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ik__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ik,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.11652608,0.44173694,0,0.0,0.8828782927614339
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__son__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__son,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.31048575,0.34475714,0,0.5,0.6949597940282025
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ssrp1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ssrp1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.37803724,0.3109814,0,1.0,0.6251359606958958
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__naa38__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__naa38,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.12725621,0.43637192,0,0.0,0.8754913045085387
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bop1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bop1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.09493465,0.45253265,0,0.0,0.9078848213197871
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__lsm2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__lsm2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.24091886,0.37954056,0,0.0,0.7648033702517513
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rps29__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rps29,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.04068645,0.47965676,0,0.0,0.9618281879801166
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__gps1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__gps1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.0885231,0.45573843,0,0.0,0.9228990959460062
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__dhx16__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__dhx16,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.2749335,0.36253327,0,0.0,0.7243467884759898
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__qars__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__qars,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.1871789,0.40641057,0,0.0,0.8141139443478216
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif2b5__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif2b5,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.27491778,0.36254108,0,0.0,0.7263701607619439
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__atp6v1b2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__atp6v1b2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.2121094,0.39394528,0,0.0,0.7868705240390848
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__supt6h__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__supt6h,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.3904735,0.30476326,0,1.0,0.6147831448759867
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nuf2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__nuf2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.15542544,0.4222873,0,0.0,0.8459246226429612
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rrm2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rrm2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.11151163,0.4442442,0,0.0,0.899536534883116
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ints9__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ints9,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.20497441,0.3975128,0,0.0,0.797564310710238
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pmpcb__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pmpcb,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.11364555,0.44317722,0,0.0,0.8928716110091354
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl3__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.0045947786,0.5022974,0,0.0,1.0055485479863022
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__tpx2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__tpx2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.10374121,0.5518706,0,0.0,1.1017288358734212
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rps12__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rps12,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.13679375,0.56839687,0,0.0,1.1380055621107272
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmd4__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__psmd4,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.18650329,0.40674835,0,0.0,0.8151088022825088
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif4e__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif4e,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.1527485,0.42362577,0,0.0,0.8478546146225924
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc1a5__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__slc1a5,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.06358294,0.46820855,0,0.0,0.9398093986982438
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__dnajc19__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__dnajc19,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.23272225,0.38363886,0,0.0,0.7728020568118382
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__trex2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__trex2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.22387548,0.38806224,0,0.0,0.7779164626934243
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__snx15__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__snx15,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.045330394,0.4773348,0,0.0,0.95580655409087
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bub1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__bub1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.013248893,0.49337554,0,0.0,0.9878457819520923
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rbmx2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rbmx2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.20738436,0.39630783,0,0.0,0.7920360985265895
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hspa5__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hspa5,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.27529705,0.36235148,0,0.0,0.7303952604058914
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ptcd1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__ptcd1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.039941117,0.48002946,0,0.0,0.9587434355335659
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__sart1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__sart1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.124084815,0.43795758,0,0.0,0.876389755015626
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpa1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpa1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.013369479,0.49331528,0,0.0,0.9831321835417138
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl23__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl23,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.093454726,0.45327264,0,0.0,0.9108890496723746
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl21__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl21,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.14739923,0.4263004,0,0.0,0.8597458325430609
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl24__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl24,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.022326078,0.48883694,0,0.0,0.9830980311261109
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med22__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__med22,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.24017327,0.3799134,0,0.0,0.7645235162941677
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__denr__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__denr,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.16817495,0.4159125,0,0.0,0.8316064569741313
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pdcd6ip__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__pdcd6ip,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.09552469,0.54776233,0,0.0,1.0971076802940345
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__mrpl33__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__mrpl33,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.111633666,0.44418317,0,0.0,0.8889233989753911
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hs6st1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__hs6st1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.031189136,0.5155946,0,0.0,1.0336059160585456
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__trrap__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__trrap,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.20928408,0.39535797,0,0.0,0.7969622120747494
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cnot1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cnot1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.0037607818,0.5018804,0,0.0,1.0086415448027348
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cnot3__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cnot3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.2804083,0.35979587,0,0.0,0.7258371675941148
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__control__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__control,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.0,0.5,0,-1.0,
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl3__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl3,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.06545921,0.5327296,0,0.0,1.0609700992496605
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif3a__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__eif3a,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.013731192,0.49313438,0,0.0,0.9874987999130848
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl24__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl24,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.073579326,0.53678966,0,0.0,1.073213124288456
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__tsr2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__tsr2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.033897147,0.48305142,0,0.0,0.9695997737244841
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__smn2__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__smn2,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.40036547,0.29981726,0,1.0,0.6019886887454604
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__tsen34__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__tsen34,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.05428202,0.47285897,0,0.0,0.9416608924860704
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl11__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__rpl11,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.059324972,0.4703375,0,0.0,0.9458406716960999
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cadm4__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__cadm4,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,-0.05425617,0.5271281,0,0.0,1.052796638973774
pred__bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__gtf2h1__ridge__dataset-heldout-split__ensemble3,bio__env-replogleweissman2022-k562-essential-k562-rna-essential-legacy-pilot__gtf2h1,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,0.17734528,0.41132736,0,0.0,0.8235344932312731
